title,subtitle,tools,client,date,award,url,img,fw,gc,gr,cat,class,paid,rank,show
AI Data Centers Are Sending Power Bills Soaring,Wholesale electricity costs as much as 267% more than it did five years ago in areas near data centers. That’s being passed on to customers.,Python/Svelte/D3.js,Bloomberg,9/1/25,,https://www.bloomberg.com/graphics/2025-ai-data-centers-electricity-prices/,ai_prices.png,TRUE,,,technology,fw,TRUE,1,TRUE
"Top Trump Crypto Buyers Vying for Dinner Seats Are Likely Foreign, Data Shows","The majority of top holders of Donald Trump’s memecoin have used foreign exchanges that say they ban US users, suggesting many purchasers are based abroad",Python/Svelte/D3.js,Bloomberg,5/1/25,,https://www.bloomberg.com/graphics/2025-trump-memecoin-foreign-crypto-traders/?srnd=undefined&embedded-checkout=true,trump_crypto_foreign.png,TRUE,,,crypto,fw,TRUE,2,TRUE
AI Is Draining Water From the Areas That Need It Most,"More than 160 new AI data centers have been built across the US in the past three years in regions already grappling with scarce water resources, a Bloomberg News analysis finds.",Python/Svelte/D3.js,Bloomberg,5/1/25,,https://www.bloomberg.com/graphics/2025-ai-impacts-data-centers-water-data/?srnd=undefined,ai_water.jpeg,TRUE,,,technology,fw,TRUE,3,TRUE
"AI Needs So Much Power, It's Making Yours Worse",An analysis of ~800K sensors that found a strong link between proximity to AI data centers and distorted power in residential homes.,Python/Mapbox.js/Svelte/D3.js,Bloomberg,12/1/24,,https://www.bloomberg.com/graphics/2024-ai-power-home-appliances/,ai_power.mp4,TRUE,,,technology,fw,TRUE,4,TRUE
Elon Musk Is Now X’s Biggest Promoter of Anti-Immigrant Conspiracies,"The billionaire owner is spreading debunked theories of undocumented voters swaying the US election, and growing his influence in the process",Svelte/D3.js/Python,Bloomberg,10/1/24,,https://www.bloomberg.com/graphics/2024-musk-x-election-influence-immigration/,musk_tweets.mp4,TRUE,,,technology,fw,TRUE,5,TRUE
“Remigration” — How a White Nationalist Threat Spread From Austria to the US,"An analysis of 3.1M social media posts, revealing the growing influence of European extremists global politics ",Svelte/D3.js/Python,Bloomberg,9/1/24,,https://www.bloomberg.com/graphics/2024-elections-social-media-influence-remigration/,remigration.jpeg,TRUE,,,technology,fw,TRUE,6,TRUE
Humans Are Biased. Generative AI is Even Worse.,Stable Diffusion's text-to-image model amplifies stereotypes about race and gender - here's why that matters,Svelte/D3.js/Python,Bloomberg,6/1/23,,https://www.bloomberg.com/graphics/2023-generative-ai-bias/?srnd=graphics-v2,crime_grid_typing.gif,TRUE,5-Jan,3-Feb,technology,fw,TRUE,7,TRUE
OpenAI's GPT Is a Recruiter’s Dream Tool. Tests Show There’s Racial Bias,"Recruiters are eager to use generative AI, but a Bloomberg analysis found bias against candidates based on their names alone.",Svelte/D3.js,Bloomberg,3/1/24,,https://www.bloomberg.com/graphics/2024-openai-gpt-hiring-racial-discrimination/,scanner_4.mp4,TRUE,,,technology,fw,TRUE,8,TRUE
AI Is Already Wreaking Havoc On Global Power Systems,A data investigation into 1000s of data centers which found that AI data centers are coming online so fast that electricity demand is straining global power grids and threatening clean energy goals.,Python/Mapbox.js/Svelte/D3.js,Bloomberg,6/1/24,,https://www.bloomberg.com/graphics/2024-ai-data-centers-power-grids/,ai_energy.gif,FALSE,,,technology,fw,TRUE,9,TRUE
Crypto Bros Are Trying to Monetize Charlie Kirk’s Death,Every big news event is a memecoin now.,Python,Bloomberg,9/1/25,,https://www.bloomberg.com/news/articles/2025-09-17/crypto-bros-turn-charlie-kirk-s-death-into-a-memecoin,kirk.jpg,FALSE,,,crypto,hw,TRUE,10,TRUE
Trump Memecoin Shows Limits of Crypto’s Democratization Pitch,A data investigation revealing how whales cashed in $TRUMP at the expense of small buyers.,Svelte/D3.js/Python,Bloomberg,1/1/25,,https://www.bloomberg.com/graphics/2025-trump-token-memecoin-crypto-finance/,trump_meme.jpeg,FALSE,,,crypto,hw,TRUE,11,TRUE
North Korea’s $1.5 Billion Heist Puts the Crypto World on Notice,,,Bloomberg,2/1/25,,https://www.bloomberg.com/news/articles/2025-02-28/lazarus-1-5-billion-hack-on-bybit-shakes-up-the-crypto-world-eth,,FALSE,,,crypto,hw,TRUE,12,TRUE
"OpenAI’s First Stargate Site to Hold Up to 400,000 Nvidia Chips ",,,Bloomberg,3/1/25,,https://www.bloomberg.com/news/articles/2025-03-18/oracle-weighs-security-backstop-small-stake-to-land-tiktok-deal?srnd=undefined,stargate.png,FALSE,,,technology,hw,TRUE,13,TRUE
The World’s Data Center Capital Has Residents Surrounded,"Northern Virginia housing developments that will soon be walled in by data centers exemplify the tensions over unfettered growth, as calls increase for regulation.",QGIS,Bloomberg,6/1/25,,https://www.bloomberg.com/news/features/2025-07-29/loudon-county-data-center-growth-strains-residents-seeking-ai-regulation,ds_cities.png,FALSE,,,technology,hw,TRUE,14,TRUE
"Blackout, Fire Warnings Flashed From Home Sensors Hours Before Crises",,Python/Svelte/D3.js,Bloomberg,6/1/25,,https://www.bloomberg.com/graphics/2025-power-grid-data-monitor/?srnd=undefined,,FALSE,,,technology,hw,TRUE,15,TRUE
